name,ticker,figi,lot,currency,class_code
GreenSky Inc,GSKY,BBG00KT2SCV8,1,usd,SPBXM
Bandwidth Inc,BAND,BBG001K003W2,1,usd,SPBXM
2seventy bio,TSVT,BBG00YV1J622,1,usd,SPBXM
NextEra Energy,NEE,BBG000BJSBJ0,1,usd,SPBXM
Align Technology,ALGN,BBG000BRNLL2,1,usd,SPBXM
CK Hutchison Holdings,1,BBG0087DLDQ6,10,hkd,SPBHKEX
ITT,ITT,BBG00CVQZQ96,1,usd,SPBXM
World Fuel Services Corporation,INT,BBG000BM3CJ8,1,usd,SPBXM
NetScout Systems Inc,NTCT,BBG000C136Z8,1,usd,SPBXM
Redfin Corp,RDFN,BBG001Q7HP63,1,usd,SPBXM
NovoCure Limited,NVCR,BBG009XW8PY2,1,usd,SPBXM
Paylocity Holding Corp,PCTY,BBG006598YS8,1,usd,SPBXM
Evercore,EVR,BBG000BP30Y0,1,usd,SPBXM
ZimVie,ZIMV,BBG014630587,1,usd,SPBXM
Marathon Petroleum,MPC,BBG001DCCGR8,1,usd,SPBXM
Sands China,1928,BBG000PSNMN1,100,hkd,SPBHKEX
Yandex,YNDX,BBG006L8G4H1,1,rub,TQBR
Colgate-Palmolive,CL,BBG000BFQYY3,1,usd,SPBXM
Atkore International Group Inc,ATKR,BBG000QTFDQ4,1,usd,SPBXM
XPEL,XPEL,BBG000R5XCX9,1,usd,SPBXM
Owens Corning,OC,BBG000M44VW8,1,usd,SPBXM
Stifel Financial,SF,BBG000BSS5C0,1,usd,SPBXM
World Wrestling Entertainment,WWE,BBG000F5YH15,1,usd,SPBXM
ЭсЭфАй,SFIN,BBG003LYCMB1,10,rub,TQBR
Allscripts Healthcare Solution,MDRX,BBG000BLDXH5,1,usd,SPBXM
Lucid Group,LCID,BBG00W7F99V5,1,usd,SPBXM
JFrog Ltd.,FROG,BBG006PWZX16,1,usd,SPBXM
Huron Consulting Group Inc,HURN,BBG000PV2M48,1,usd,SPBXM
Leggett & Platt,LEG,BBG000BN53G7,1,usd,SPBXM
Deutsche Telekom AG,DTE@DE,BBG000HJTMS9,1,eur,SPBDE
Lennar,LEN,BBG000BN5HF7,1,usd,SPBXM
Myriad Genetics Inc,MYGN,BBG000D9H9F1,1,usd,SPBXM
Walgreens Boots Alliance,WBA,BBG000BWLMJ4,1,usd,SPBXM
Micro Focus,MFGP,BBG00HFWVGN0,1,usd,SPBXM
Teleflex Inc,TFX,BBG000BV59Y6,1,usd,SPBXM
Loews,L,BBG000C45984,1,usd,SPBXM
Fiserv,FISV,BBG000BJKPG0,1,usd,SPBXM
Apollo Global Management,APO,BBG00ZNLTFK3,1,usd,SPBXM
MP Materials,MP,BBG00TJGL0F0,1,usd,SPBXM
ДВМП,FESH,BBG000QF1Q17,100,rub,TQBR
Asana,ASAN,BBG00WYHL732,1,usd,SPBXM
Exact Sciences Corp,EXAS,BBG000CWL0F5,1,usd,SPBXM
Johnson Controls,JCI,BBG000BVWLJ6,1,usd,SPBXM
10X Genomics Inc,TXG,BBG007WX14X0,1,usd,SPBXM
Renewable Energy Group Inc,REGI,BBG0016SSV00,1,usd,SPBXM
Voya Financial,VOYA,BBG000BCWKD6,1,usd,SPBXM
Intuitive Surgical,ISRG,BBG000BJPDZ1,1,usd,SPBXM
Li Auto,LI,BBG00W0KZD98,1,usd,SPBXM
PhosAgro PJSC,PHOR@GS,BBG001R16GZ5,1,usd,SPBXM
Axalta Coating Systems,AXTA,BBG0060CPLJ5,1,usd,SPBXM
"Robinhood Markets, Inc.",HOOD,BBG008NMBXN8,1,usd,SPBXM
TCS Group (Tinkoff Bank holder),TCS,BBG005DXJS36,1,usd,SPBXM
NAC Kazatomprom JSC,KAP@GS,BBG00MJM7K82,1,usd,SPBXM
AptarGroup,ATR,BBG000BGX2S0,1,usd,SPBXM
WW Grainger,GWW,BBG000BKR1D6,1,usd,SPBXM
Supernus Pharmaceuticals Inc,SUPN,BBG000BP0HX7,1,usd,SPBXM
Alight,ALIT,BBG00H00J2N1,1,usd,SPBXM
LyondellBasell,LYB,BBG000WCFV84,1,usd,SPBXM
Mondelez,MDLZ,BBG000D4LWF6,1,usd,SPBXM
Jefferies Financial Group,JEF,BBG000BNHSP9,1,usd,SPBXM
Telephone & Data Systems Inc,TDS,BBG000BV0VK7,1,usd,SPBXM
"Shoals Technologies Group, Inc.",SHLS,BBG00YQ82275,1,usd,SPBXM
Tata Motors,TTM,BBG000PVGDH9,1,usd,SPBXM
Delek US Holdings Inc,DK,BBG00FZYFVC5,1,usd,SPBXM
Chipotle Mexican Grill,CMG,BBG000QX74T1,1,usd,SPBXM
Blackstone,BX,BBG000BH0106,1,usd,SPBXM
News Corp,NWS,BBG0035M2ZB7,1,usd,SPBXM
Federated Hermes,FHI,BBG000BP0929,1,usd,SPBXM
Duke Realty REIT,DRE,BBG000BHD8S7,1,usd,SPBXM
Brown & Brown,BRO,BBG000BWSGF4,1,usd,SPBXM
Распадская,RASP,BBG004S68696,10,rub,TQBR
Endava АДР,DAVA,BBG00LBLBBJ7,1,usd,SPBXM
Pembina Pipeline Corporation,PBA,BBG001732GF9,1,usd,SPBXM
MGM Resorts International,MGM,BBG000C2BXK4,1,usd,SPBXM
Medical Properties REIT,MPW,BBG000BGRB25,1,usd,SPBXM
Riot Blockchain,RIOT,BBG000BQ4512,1,usd,SPBXM
Veeva Systems Inc,VEEV,BBG001CGB489,1,usd,SPBXM
NCR Corp,NCR,BBG000BMXK89,1,usd,SPBXM
Interactive Brokers Group Inc,IBKR,BBG000LV0836,1,usd,SPBXM
Cinemark Holdings Inc,CNK,BBG000QDVR53,1,usd,SPBXM
Bluebird Bio Inc,BLUE,BBG000QGWY50,1,usd,SPBXM
American Financial Group,AFG,BBG000DPKKK0,1,usd,SPBXM
3M Company,MMM,BBG000BP52R2,1,usd,SPBXM
Korea Electric Power,KEP,BBG000BCWG90,1,usd,SPBXM
Semtech Corp,SMTC,BBG000DBKR53,1,usd,SPBXM
HealthEquity Inc,HQY,BBG000TYXCT9,1,usd,SPBXM
Borussia Dortmund GmbH & Co KG,BVB@DE,BBG000D54JC4,1,eur,SPBDE
East West Ban,EWBC,BBG000CR20B1,1,usd,SPBXM
PUMA SE,PUM@DE,BBG000BLMTR3,1,eur,SPBDE
НОВАТЭК,NVTK,BBG00475KKY8,1,rub,TQBR
GATX Corporation,GATX,BBG000BKGXQ4,1,usd,SPBXM
ExlService Holdings Inc,EXLS,BBG000NS3P30,1,usd,SPBXM
Warrior Met Coal,HCC,BBG00GD1JMV4,1,usd,SPBXM
Bridgebio Pharma,BBIO,BBG00P9KDZK6,1,usd,SPBXM
BeyondSpring,BYSI,BBG00F9YLST6,1,usd,SPBXM
Shake Shack Inc,SHAK,BBG0063GCHH8,1,usd,SPBXM
Sonoco Products Co,SON,BBG000D7HF89,1,usd,SPBXM
Intercept Pharmaceuticals Inc,ICPT,BBG001J1QN87,1,usd,SPBXM
STERIS,STE,BBG00MRHG523,1,usd,SPBXM
Yelp Inc,YELP,BBG000Q2HM09,1,usd,SPBXM
American Woodmark Corp,AMWD,BBG000BBX657,1,usd,SPBXM
E.ON SE,EOAN@DE,BBG000BR7PK2,1,eur,SPBDE
Enbridge,ENB,BBG000K5M1S8,1,usd,SPBXM
Jack Henry & Associates Inc,JKHY,BBG000BMH2Q7,1,usd,SPBXM
Upstart Holdings,UPST,BBG00PKCBY53,1,usd,SPBXM
Oracle,ORCL,BBG000BQLTW7,1,usd,SPBXM
Verizon Communications,VZ,BBG000HS77T5,1,usd,SPBXM
Seagen Inc.,SGEN,BBG000BH0FR6,1,usd,SPBXM
Morningstar,MORN,BBG000CGQ4F7,1,usd,SPBXM
Digital Turbine Inc,APPS,BBG000HZ3562,1,usd,SPBXM
ЮУНК,UNKL,BBG002YFXL29,1,rub,TQBR
Valvoline,VVV,BBG003DNHV56,1,usd,SPBXM
АДР Just Eat Takeaway.com N.V.,GRUB,BBG010R8C3Y4,1,usd,SPBXM
ALX Oncology Holdings Inc,ALXO,BBG00VR8SDG8,1,usd,SPBXM
Kite Realty Group REIT,KRG,BBG000BC2KW8,1,usd,SPBXM
Нижнекамскнефтехим,NKNC,BBG000GQSRR5,10,rub,TQBR
Kinsale Capital Group,KNSL,BBG00D8JD9Z9,1,usd,SPBXM
Sarepta Therapeutics Inc,SRPT,BBG000BCJ161,1,usd,SPBXM
NetEase Inc,NTES,BBG000BX72V8,1,usd,SPBXM
Peloton Interactive Inc,PTON,BBG00JG0FFZ2,1,usd,SPBXM
Русская аквакультура,AQUA,BBG000W325F7,1,rub,TQBR
MGP Ingredients,MGPI,BBG000BXK6C5,1,usd,SPBXM
Franklin Resources,BEN,BBG000BD0TF8,1,usd,SPBXM
"Flowers Foods, Inc.",FLO,BBG000BB4D72,1,usd,SPBXM
Axos Financial Inc,AX,BBG000QPHD08,1,usd,SPBXM
Gentex Corporation,GNTX,BBG000BKJ092,1,usd,SPBXM
Las Vegas Sands Corp,LVS,BBG000JWD753,1,usd,SPBXM
Sherwin-Williams,SHW,BBG000BSXQV7,1,usd,SPBXM
ICU Medical Inc,ICUI,BBG000CQV2N4,1,usd,SPBXM
Unity Software,U,BBG0056JW5G6,1,usd,SPBXM
ТНС энерго Воронеж,VRSB,BBG000BX7DH0,10,rub,TQBR
SPX FLOW Inc,FLOW,BBG007FL7ZD2,1,usd,SPBXM
Jack in the Box,JACK,BBG000GZYVY1,1,usd,SPBXM
Biogen,BIIB,BBG000C17X76,1,usd,SPBXM
"MDU Resources Group, Inc.",MDU,BBG000BNX3R4,1,usd,SPBXM
Wolverine World Wide Inc,WWW,BBG000BX2YN2,1,usd,SPBXM
Citizens Financial Group,CFG,BBG006Q0HY77,1,usd,SPBXM
